,Кодировка,Балл ЕГЭ,Код ученика
455,rus_ege_max_w1_030918_120blm,89.0,s283
456,rus_ege_max_w1_080918_123okm,78.0,s283
457,soc_ege_max_w1_040918_30chekb,77.0,s284
458,his_ege_max_w2_031018_1volgd,41.0,s285
459,his_ege_max_w1_090918_46mgnsk,98.0,s286
460,soc_ege_max_w1_070918_22mgnsk,94.0,s286
461,mat_int_on_w2_100219_1kumsk,45.0,s287
462,eng_ege_int_ctp_mini_on_150219_2web,61.0,s288
463,lit_ege_on_personal_int_110219_11m,52.0,s288
464,mat_ege_max_w1_070918_11chekb,84.0,s289
465,soc_ege_max_w2_071018_40chekb,89.0,s290
466,mat_opt_w1_011218_10aim,68.0,s291
467,rus_ege_max_w1_031018_3volgd,62.0,s292
468,rus_ege_max_w1_061018_1volgd,70.0,s293
469,soc_ege_max_w2_041018_2volgd,44.0,s293
470,soc_opt_w2_291118_5chekb,63.0,s294
471,mat_ege_max_w1_060918_32vpspb,78.0,s295
472,bio_ege_max_on_w2_011018_50vpspb,78.0,s296
473,bio_ege_max_w1_040918_9vpspb,72.0,s297
474,mat_ege_max_w1_060918_32vpspb,68.0,s297
475,rus_opt_w1_031118_11vpspb,85.0,s298
476,inf_ege_opt_ctp_on_w2_021218_3kum,73.0,s298
477,soc_ege_max_w2_011018_4irk,72.0,s299
478,phi_ege_max_on_w2_051018_36chekb,56.0,s300
479,mat_ege_max_on_w2_031018_35Knn,70.0,s300
480,rus_ege_sint_SRED_on_170319_1web,70.0,s300
481,phi_ege_max_on_w2_051018_36chekb,70.0,s301
482,mat_ege_max_on_w2_031018_35Knn,68.0,s301
483,his_ege_int_ctp_mini_on_120219_1web,43.0,s302
484,rus_opt_w2_261118_1knn,61.0,s303
485,soc_ege_max_w2_041018_2volgd,61.0,s304
486,mat_ege_max_w2_011018_1volgd,56.0,s304
487,rus_ege_max_w1_070918_82vpspb,56.0,s305
